Yard,Date of Detection,Time of Detection,Species Detected,Number of the Species Detected in the Photo,Sunset Time,Sunrise Time,Number of Bird Feeders,Are of Garden (m^2),Fence Type,Poultry Presence,Relative Abundance of Dogs,Relative Abundance of Predators,Forest Cover within 400m of camera (km^2),Open Land Cover within 400m of camera (km^2),Agricultural Land Cover within 400m of camera (km^2),Developed Land Cover within 400m of camera (km^2),Maximum Housing Unit Density within a 400m buffer (Houses/km^2)
1,4/9/2021,13:32:00,Domestic Dog,1,19:46,6:52,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/9/2021,9:20:01,Gray Squirrel,1,19:46,6:52,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/9/2021,9:48:05,Gray Squirrel,1,19:46,6:52,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/9/2021,20:38:11,Rat,1,19:46,6:52,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/9/2021,22:02:55,Rat,1,19:46,6:52,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/10/2021,19:19:38,Bird,1,19:46,6:50,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/10/2021,15:32:11,Domestic Dog,1,19:46,6:50,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/10/2021,15:41:58,Domestic Dog,1,19:46,6:50,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/10/2021,18:29:58,Gray Squirrel,1,19:46,6:50,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/10/2021,0:51:55,Rat,1,19:46,6:50,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/10/2021,1:07:06,Rat,1,19:46,6:50,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/10/2021,3:45:29,Rat,1,19:46,6:50,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/10/2021,4:50:26,Rat,1,19:46,6:50,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/10/2021,20:40:04,Rat,1,19:46,6:50,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/10/2021,20:49:29,Rat,1,19:46,6:50,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/10/2021,21:40:24,Rat,1,19:46,6:50,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/10/2021,21:57:02,Rat,1,19:46,6:50,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/10/2021,22:03:04,Rat,1,19:46,6:50,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/10/2021,22:11:53,Rat,1,19:46,6:50,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/10/2021,22:26:18,Rat,1,19:46,6:50,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/10/2021,22:33:27,Rat,1,19:46,6:50,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/10/2021,22:50:24,Rat,1,19:46,6:50,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/10/2021,22:56:34,Rat,1,19:46,6:50,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/11/2021,10:28:44,Gray Squirrel,1,19:47,6:49,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/11/2021,10:36:40,Gray Squirrel,1,19:47,6:49,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/11/2021,11:06:27,Gray Squirrel,1,19:47,6:49,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/11/2021,0:32:01,Rat,1,19:47,6:49,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/11/2021,0:49:37,Rat,1,19:47,6:49,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/11/2021,1:20:45,Rat,1,19:47,6:49,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/11/2021,4:53:29,Rat,1,19:47,6:49,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/11/2021,20:29:20,Rat,1,19:47,6:49,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/11/2021,20:48:26,Rat,1,19:47,6:49,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/11/2021,21:01:57,Rat,1,19:47,6:49,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/11/2021,21:39:35,Rat,1,19:47,6:49,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/11/2021,22:00:19,Rat,1,19:47,6:49,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/11/2021,22:23:50,Rat,1,19:47,6:49,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/11/2021,22:39:01,Rat,1,19:47,6:49,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/12/2021,1:40:01,Rat,1,19:48,6:48,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/12/2021,20:34:17,Rat,1,19:48,6:48,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/12/2021,21:06:21,Rat,1,19:48,6:48,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/12/2021,21:57:43,Rat,1,19:48,6:48,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/12/2021,22:48:21,Rat,1,19:48,6:48,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/12/2021,23:21:43,Rat,1,19:48,6:48,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/13/2021,12:52:09,Gray Squirrel,1,19:49,6:46,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/13/2021,1:30:20,Rat,1,19:49,6:46,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/13/2021,3:30:21,Rat,1,19:49,6:46,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/13/2021,3:40:11,Rat,1,19:49,6:46,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/13/2021,4:03:12,Rat,1,19:49,6:46,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/13/2021,4:10:01,Rat,1,19:49,6:46,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/13/2021,5:26:37,Rat,1,19:49,6:46,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/13/2021,22:46:09,Rat,1,19:49,6:46,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/14/2021,15:53:48,Bird,1,19:50,6:45,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/14/2021,9:53:26,Gray Squirrel,1,19:50,6:45,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/14/2021,17:59:11,Gray Squirrel,1,19:50,6:45,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/14/2021,1:17:29,Rat,1,19:50,6:45,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/14/2021,3:15:17,Rat,1,19:50,6:45,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/14/2021,3:32:46,Rat,1,19:50,6:45,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/14/2021,6:19:23,Rat,1,19:50,6:45,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/14/2021,22:10:49,Rat,1,19:50,6:45,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/14/2021,22:32:54,Rat,1,19:50,6:45,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/14/2021,23:55:38,Rat,1,19:50,6:45,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/15/2021,13:03:42,Gray Squirrel,1,19:51,6:44,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/15/2021,0:33:32,Rat,1,19:51,6:44,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/15/2021,4:42:48,Rat,1,19:51,6:44,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/15/2021,21:10:12,Rat,1,19:51,6:44,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/15/2021,23:39:04,Rat,1,19:51,6:44,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/16/2021,13:04:04,Gray Squirrel,1,19:51,6:42,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/16/2021,14:04:09,Gray Squirrel,1,19:51,6:42,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/16/2021,17:45:07,Gray Squirrel,1,19:51,6:42,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/16/2021,0:06:16,Rat,1,19:51,6:42,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/16/2021,0:17:01,Rat,1,19:51,6:42,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/16/2021,1:43:31,Rat,1,19:51,6:42,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/16/2021,2:36:09,Rat,1,19:51,6:42,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/16/2021,2:41:52,Rat,1,19:51,6:42,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/16/2021,4:01:59,Rat,1,19:51,6:42,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/16/2021,4:28:05,Rat,1,19:51,6:42,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/16/2021,5:01:12,Rat,1,19:51,6:42,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/16/2021,5:56:59,Rat,1,19:51,6:42,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/16/2021,20:32:43,Rat,1,19:51,6:42,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/16/2021,20:41:51,Rat,1,19:51,6:42,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
